participantId,familiarity_raw,evaluation_raw,university,familiarity_num,participant_mean_rating,evaluation_centered,heard_binary
2649AA17B0054500A9C624077A71F95E,I have never heard of this university,22,Karlsruhe Institute of Technology,0.0,63.4,-41.4,Never heard
086CA0EE50924484BA40BE283B35A167,I have never heard of this university,5,Karlsruhe Institute of Technology,0.0,44.55,-39.55,Never heard
09A54B497E63405482AE17D913E2D5C2,I have never heard of this university,31,Karlsruhe Institute of Technology,0.0,15.45,15.55,Never heard
4068D798CA4F443EBDA0836A346C7FAA,I have never heard of this university,51,Karlsruhe Institute of Technology,0.0,44.0,7.0,Never heard
EE5F963F39674CACA41B0DDC1595BFC0,I have never heard of this university,10,Karlsruhe Institute of Technology,0.0,13.55,-3.5500000000000007,Never heard
9C9BF153F23143F28476E316F8F2010D,I have never heard of this university,12,Karlsruhe Institute of Technology,0.0,19.25,-7.25,Never heard
8BCB509032C148C7B1809382C5D2D30B,I am very familiar with it,74,Karlsruhe Institute of Technology,1.0,70.1,3.9000000000000057,Heard
C9A88F513C0D43FEAAB91ABE7D2A2DFB,I have never heard of this university,91,Karlsruhe Institute of Technology,0.0,82.25,8.75,Never heard
43B38C5A971146D5A03772B7DE77B79F,I have never heard of this university,28,Karlsruhe Institute of Technology,0.0,69.65,-41.650000000000006,Never heard
BE40A747DDDC4C159920E7D896B0C43B,I have never heard of this university,0,Karlsruhe Institute of Technology,0.0,23.3,-23.3,Never heard
E64CD767B60A44B3AD2ADED7AE7B102E,I have never heard of this university,14,Karlsruhe Institute of Technology,0.0,17.0,-3.0,Never heard
CA5C57C8B03848C0932DBDEA6A6098F9,I have never heard of this university,71,Karlsruhe Institute of Technology,0.0,49.7,21.299999999999997,Never heard
D8F75C14EAF24D879F6D31BBCCB9D69B,I have never heard of this university,70,Karlsruhe Institute of Technology,0.0,61.25,8.75,Never heard
C5F739838F84491FBB3DF6EB57A21B8C,I have never heard of this university,69,Karlsruhe Institute of Technology,0.0,69.1,-0.09999999999999432,Never heard
752C3F34BECF4DD5B82BF6A06BDC15A6,I have never heard of this university,76,Karlsruhe Institute of Technology,0.0,71.05,4.950000000000003,Never heard
DA69570119B24065909EFD08179AB45A,I have never heard of this university,59,Karlsruhe Institute of Technology,0.0,42.6,16.4,Never heard
66D0B254AB944CC38DD3DC8F212C6D66,I have never heard of this university,70,Karlsruhe Institute of Technology,0.0,72.7,-2.700000000000003,Never heard
38C7B4CC15C54D5F98F166C1BD1995F2,I have never heard of this university,50,Karlsruhe Institute of Technology,0.0,49.95,0.04999999999999716,Never heard
3BB9F558B79A4B22A71CF00356573354,I have never heard of this university,80,Karlsruhe Institute of Technology,0.0,70.0,10.0,Never heard
A564C1C5538C48D0874D3CC48612419D,I have never heard of this university,13,Karlsruhe Institute of Technology,0.0,39.6,-26.6,Never heard
BE48927354EC40329D644A03693519C9,I have never heard of this university,65,Karlsruhe Institute of Technology,0.0,65.5,-0.5,Never heard
23B7335472A1407BA6C9CDF60958C918,I have never heard of this university,39,Karlsruhe Institute of Technology,0.0,49.1,-10.100000000000001,Never heard
0C2FBF0AC86342FE9EC2B6FBA2407A60,I have never heard of this university,50,Karlsruhe Institute of Technology,0.0,56.35,-6.350000000000001,Never heard
3DD4464BB2A5434DA776B499B7D4BEE8,I have never heard of this university,69,Karlsruhe Institute of Technology,0.0,62.95,6.049999999999997,Never heard
CA98B80CF2DD496FA96DF87A76EE59D0,I have never heard of this university,95,Karlsruhe Institute of Technology,0.0,87.55,7.450000000000003,Never heard
